sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
1,-87.5675435801177,9.999355799018168e-11,753,800,0
2,-87.5675447173242,1.2450259715860392e-10,800,800,1
3,-87.56754472026128,1.262955483995505e-10,800,800,1
4,-87.56754472138176,1.2639530841336981e-10,800,800,1
5,-87.56754472154644,1.2640066365841778e-10,800,800,1
6,-87.56754479006082,9.999410046128693e-12,1190,1600,0
7,-87.56754479240205,9.999374767953542e-12,1198,1600,0
8,-87.56754479241174,9.998592183797715e-12,1198,1600,0
9,-87.56754479241174,9.995239707857632e-12,1198,1600,0
10,-87.56754479241151,9.99840461536261e-12,1198,1600,0
11,-87.56754479958212,9.999993074216803e-13,1754,2400,0
12,-87.56754479967366,9.99950568112886e-13,1762,2400,0
13,-87.5675447996854,9.999851138844033e-13,1768,2400,0
14,-87.56754479968703,9.99933348017183e-13,1768,2400,0
15,-87.56754479968946,9.998973924261157e-13,1768,2400,0
16,-87.56754479968905,9.99980952996032e-13,1768,4000,0
17,-87.56754479969011,9.999919659589656e-13,1768,4000,0
18,-87.56754479968984,9.99992880058136e-13,1768,4000,0
19,-87.56754479969062,9.998033498825704e-13,1768,4000,0
20,-87.56754479968977,9.998842688221727e-13,1768,4000,0
21,-87.56754479969027,9.999512356678692e-13,1768,6000,0
22,-87.56754479968984,9.999755789792927e-13,1768,6000,0
23,-87.56754479969021,9.99933458286596e-13,1768,6000,0
24,-87.56754479968963,9.999652317825128e-13,1768,6000,0
25,-87.56754479968947,9.99981738549271e-13,1768,6000,0
