sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
1,-93.33140311868179,9.999945634439722e-11,569,800,0
2,-93.33140367552406,9.999694175942853e-11,601,800,0
3,-93.33140367321757,9.996124250892233e-11,597,800,0
4,-93.33140367323558,9.998497166207511e-11,595,800,0
5,-93.33140367323557,9.998554521073288e-11,595,800,0
6,-93.33140373876763,9.999815557027295e-12,848,1600,0
7,-93.33140374046319,9.998812786218689e-12,856,1600,0
8,-93.33140374146151,9.99913978112871e-12,862,1600,0
9,-93.33140374153686,9.999824343592489e-12,862,1600,0
10,-93.33140374154213,9.9998481965246e-12,862,1600,0
11,-93.33140374851034,9.999851095691873e-13,1216,2400,0
12,-93.33140374854221,9.998958657599617e-13,1216,2400,0
13,-93.3314037485462,9.999678675199215e-13,1216,2400,0
14,-93.33140374854574,9.999162748248184e-13,1216,2400,0
15,-93.33140374854611,9.99921758103102e-13,1216,2400,0
16,-93.33140374854497,9.999223347355127e-13,1216,4000,0
17,-93.3314037485466,9.999224128037201e-13,1216,4000,0
18,-93.33140374854592,9.999224292345076e-13,1216,4000,0
19,-93.33140374854553,9.999224321663792e-13,1216,4000,0
20,-93.33140374854601,9.99922434681663e-13,1216,4000,0
21,-93.33140374854581,9.999224339794584e-13,1216,6000,0
22,-93.33140374854601,9.999224351557413e-13,1216,6000,0
23,-93.33140374854578,9.999224338005093e-13,1216,6000,0
24,-93.33140374854564,9.999224387159192e-13,1216,6000,0
25,-93.33140374854534,9.999224818494324e-13,1216,6000,0
