stage,sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
polish,1,-83.9120566387601,2.497930987804482e-7,100,100,1
polish,2,-84.44804691281496,4.483438307388501e-6,100,100,1
polish,3,-84.45923366402373,3.647292496564427e-6,100,100,1
polish,4,-84.45926071259989,3.1501867073920285e-6,100,100,1
polish,5,-84.4592633984355,3.0908958471174417e-6,100,100,1
polish,6,-84.46124711582425,3.6560924780757447e-7,200,200,1
polish,7,-84.46127988426939,3.878490401973919e-7,200,200,1
polish,8,-84.4612809678197,3.876718242865819e-7,200,200,1
polish,9,-84.46128111569547,3.8778068462409106e-7,200,200,1
polish,10,-84.46128110740764,3.877729297436686e-7,200,200,1
polish,11,-84.46147827902013,1.1397190148767588e-8,400,400,1
polish,12,-84.46147884311391,1.2868763167226103e-8,400,400,1
polish,13,-84.4614797277066,1.2985486009225269e-8,400,400,1
polish,14,-84.46148069831189,1.2998755158279335e-8,400,400,1
polish,15,-84.46149265798691,1.342606967775821e-8,400,400,1
polish,16,-84.46159008641459,6.230293671726144e-10,800,800,1
polish,17,-84.46159024081834,7.172478845071289e-10,800,800,1
polish,18,-84.46159024521474,7.334597199564787e-10,800,800,1
polish,19,-84.4615902467699,7.369073311337154e-10,800,800,1
polish,20,-84.46159024882975,7.451133993047911e-10,800,800,1
polish,21,-84.46159073733688,2.214612954321422e-11,1600,1600,1
polish,22,-84.46159073836897,2.3543863286887133e-11,1600,1600,1
polish,23,-84.4615907383658,2.358995842689604e-11,1600,1600,1
polish,24,-84.46159073836287,2.3596253681663125e-11,1600,1600,1
polish,25,-84.46159073836252,2.3590955445686525e-11,1600,1600,1
polish,26,-84.46159075135768,2.159720992149208e-12,2400,2400,1
polish,27,-84.46159075142862,2.208805231839834e-12,2400,2400,1
polish,28,-84.4615907517088,2.2470133055861183e-12,2400,2400,1
polish,29,-84.46159075186557,2.2779781315914635e-12,2400,2400,1
polish,30,-84.46159075189229,2.2864840060985854e-12,2400,2400,1
polish,31,-84.4615907525502,9.999833600416084e-13,2754,4000,0
polish,32,-84.46159075257172,9.999973498875407e-13,2762,4000,0
polish,33,-84.46159075257702,9.999313175708313e-13,2764,4000,0
polish,34,-84.4615907525785,9.999898297943483e-13,2764,4000,0
polish,35,-84.46159075257981,9.999777787235968e-13,2764,4000,0
polish,36,-84.46159075258434,9.999701531093175e-13,2764,6000,0
polish,37,-84.46159075258564,9.999622509412322e-13,2764,6000,0
polish,38,-84.46159075258527,9.999583136462425e-13,2764,6000,0
polish,39,-84.46159075258706,9.999564327152677e-13,2764,6000,0
polish,40,-84.46159075258817,9.999555140656069e-13,2764,6000,0
