sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
1,-86.0178150036223,1.5513738414559203e-7,100,100,1
2,-87.2882558788355,6.815130905473992e-6,100,100,1
3,-87.3060792154515,9.034536871086696e-6,100,100,1
4,-87.30649967798351,7.187575391682901e-6,100,100,1
5,-87.30650647801355,7.127611681349468e-6,100,100,1
6,-87.31075339819833,5.957558401507526e-7,200,200,1
7,-87.3109449284897,7.413938809499934e-7,200,200,1
8,-87.31094666032756,7.518139734996424e-7,200,200,1
9,-87.31094691802478,7.525425469837947e-7,200,200,1
10,-87.31094690908803,7.525912191683511e-7,200,200,1
11,-87.31130793618293,2.8453339345539103e-8,400,400,1
12,-87.31130867455131,3.1822543181345456e-8,400,400,1
13,-87.31130867947947,3.2043834985550964e-8,400,400,1
14,-87.3113086724977,3.2065414534317425e-8,400,400,1
15,-87.31130867176135,3.207025679143283e-8,400,400,1
16,-87.31147380881825,1.669055475404658e-9,800,800,1
17,-87.31147415449819,1.974164056175541e-9,800,800,1
18,-87.31147416879094,1.9835279087233882e-9,800,800,1
19,-87.31147417890085,1.985556701353984e-9,800,800,1
20,-87.31147418643668,1.989580647277105e-9,800,800,1
21,-87.31147527998648,5.340612597047669e-11,1600,1600,1
22,-87.31147528506713,5.984058080773052e-11,1600,1600,1
23,-87.31147528512291,6.021221043600702e-11,1600,1600,1
24,-87.311475285135,6.021635200044393e-11,1600,1600,1
25,-87.31147528513868,6.022303949264216e-11,1600,1600,1
26,-87.31147531076446,6.32851799504905e-12,2400,2400,1
27,-87.31147531081915,6.4371161669907326e-12,2400,2400,1
28,-87.31147531089431,6.4730992207748886e-12,2400,2400,1
29,-87.31147531098003,6.531854207259148e-12,2400,2400,1
30,-87.31147531108348,6.595340021744206e-12,2400,2400,1
31,-87.31147531370762,9.999912189107163e-13,3280,4000,0
32,-87.31147531405358,9.99993431992973e-13,3302,4000,0
33,-87.31147531426134,9.999986034648293e-13,3318,4000,0
34,-87.31147531427247,9.999240636566798e-13,3328,4000,0
35,-87.31147531427466,9.999279597300205e-13,3326,4000,0
36,-87.31147531427573,9.999417492087142e-13,3330,6000,0
37,-87.31147531427675,9.999483279730855e-13,3330,6000,0
38,-87.31147531427638,9.999477722213813e-13,3330,6000,0
39,-87.31147531427658,9.999458597390798e-13,3330,6000,0
40,-87.31147531427706,9.99943538483695e-13,3330,6000,0
