stage,sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
polish,1,-91.25631741358004,9.999778643401048e-11,616,800,0
polish,2,-91.25631828213434,9.992250295841116e-11,597,800,0
polish,3,-91.2563182803191,9.996398504737876e-11,593,800,0
polish,4,-91.25631828045492,9.999313756640678e-11,595,800,0
polish,5,-91.25631828046778,9.999699173440502e-11,595,800,0
polish,6,-91.25631834587425,9.999711066074614e-12,817,1600,0
polish,7,-91.25631834712742,9.999493241694943e-12,829,1600,0
polish,8,-91.25631834723858,9.999990174186708e-12,830,1600,0
polish,9,-91.25631834731492,9.999878165245506e-12,830,1600,0
polish,10,-91.25631834731662,9.999881168614367e-12,830,1600,0
polish,11,-91.25631835685374,9.999947537607924e-13,1180,2400,0
polish,12,-91.25631835725667,9.999571510756788e-13,1190,2400,0
polish,13,-91.25631835726188,9.998539007207587e-13,1190,2400,0
polish,14,-91.2563183572622,9.999760512532851e-13,1190,2400,0
polish,15,-91.25631835726112,9.999918398439468e-13,1190,2400,0
polish,16,-91.25631835726199,9.999941158643427e-13,1190,4000,0
polish,17,-91.25631835726183,9.999929559378744e-13,1192,4000,0
polish,18,-91.25631835726199,9.999929466991704e-13,1192,4000,0
polish,19,-91.25631835726207,9.999912861543058e-13,1192,4000,0
polish,20,-91.25631835726206,9.999967627262764e-13,1192,4000,0
polish,21,-91.25631835726179,9.999880223634867e-13,1192,6000,0
polish,22,-91.25631835726297,9.999942031894409e-13,1194,6000,0
polish,23,-91.25631835726269,9.999977807765493e-13,1194,6000,0
polish,24,-91.25631835726202,9.999988539627306e-13,1193,6000,0
polish,25,-91.25631835726197,9.999919214535721e-13,1193,6000,0
