stage,sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
polish,1,-85.1823536952845,8.878819507417348e-9,800,800,1
polish,2,-85.18235716957211,2.0267413288088225e-8,800,800,1
polish,3,-85.18235718336956,2.0099984666318438e-8,800,800,1
polish,4,-85.18235717848508,2.0107467578888726e-8,800,800,1
polish,5,-85.18235717965555,2.0106542544366763e-8,800,800,1
polish,6,-85.1823660922129,7.705466381390273e-10,1600,1600,1
polish,7,-85.18236611167386,8.410639993970767e-10,1600,1600,1
polish,8,-85.18236611186663,8.482240374554527e-10,1600,1600,1
polish,9,-85.18236611222707,8.484650231981903e-10,1600,1600,1
polish,10,-85.1823661121598,8.484923414033826e-10,1600,1600,1
polish,11,-85.18236643461259,1.1479943659427256e-10,2400,2400,1
polish,12,-85.18236643591942,1.1782953584398144e-10,2400,2400,1
polish,13,-85.18236643623486,1.1821080086586883e-10,2400,2400,1
polish,14,-85.18236643690831,1.1828074355545496e-10,2400,2400,1
polish,15,-85.18236643819064,1.1831397098806058e-10,2400,2400,1
polish,16,-85.18236648926279,7.97845485597449e-12,4000,4000,1
polish,17,-85.18236649364951,8.321179085411221e-12,4000,4000,1
polish,18,-85.1823664941432,8.644946332104167e-12,4000,4000,1
polish,19,-85.18236649416373,8.718720729065842e-12,4000,4000,1
polish,20,-85.18236649416306,8.742494303050741e-12,4000,4000,1
polish,21,-85.1823664969079,9.99979746780107e-13,5820,6000,0
polish,22,-85.18236649695787,9.999923605163835e-13,5880,6000,0
polish,23,-85.18236649697081,9.99967792024908e-13,5892,6000,0
polish,24,-85.18236649697296,9.999976340011317e-13,5900,6000,0
polish,25,-85.18236649697316,9.999994030035302e-13,5900,6000,0
