stage,sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
polish,1,-82.49484499951464,2.532552726518507e-7,800,800,1
polish,2,-82.49484555922302,2.825265809122377e-7,800,800,1
polish,3,-82.49484595165482,2.8059676958046717e-7,800,800,1
polish,4,-82.49484601539743,2.7602542466336316e-7,800,800,1
polish,5,-82.49484601701987,2.7573471406985427e-7,800,800,1
polish,6,-82.49497003034345,1.5517886777158536e-8,1600,1600,1
polish,7,-82.49497163810302,1.945432874734546e-8,1600,1600,1
polish,8,-82.49497172762287,1.9756958601575835e-8,1600,1600,1
polish,9,-82.49497174530819,1.979832020423534e-8,1600,1600,1
polish,10,-82.49497177133901,1.9812852712476403e-8,1600,1600,1
polish,11,-82.49497945972416,3.626826325192083e-9,2400,2400,1
polish,12,-82.49497977680437,3.936958078446885e-9,2400,2400,1
polish,13,-82.4949799149414,4.043083675127223e-9,2400,2400,1
polish,14,-82.4949800071399,4.1161507509473786e-9,2400,2400,1
polish,15,-82.49498010019161,4.12419051081591e-9,2400,2400,1
polish,16,-82.49498173074717,4.124190234958633e-10,4000,4000,1
polish,17,-82.49498174572652,4.580024756387697e-10,4000,4000,1
polish,18,-82.49498174774796,4.6010840944978425e-10,4000,4000,1
polish,19,-82.494981748179,4.609206718469099e-10,4000,4000,1
polish,20,-82.49498174855071,4.6148750611227945e-10,4000,4000,1
polish,21,-82.49498190349222,6.621218343202268e-11,6000,6000,1
polish,22,-82.49498190511412,7.087077569710533e-11,6000,6000,1
polish,23,-82.49498190532468,7.146356576413618e-11,6000,6000,1
polish,24,-82.49498190539501,7.178416592340329e-11,6000,6000,1
polish,25,-82.49498190541581,7.21236271737208e-11,6000,6000,1
