sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
1,-80.15952804543973,3.091682307064497e-8,800,800,1
2,-80.15958289314145,6.217018467764957e-8,800,800,1
3,-80.15958326959938,6.210221753112747e-8,800,800,1
4,-80.15958328896455,6.237864979006988e-8,800,800,1
5,-80.15958331239116,6.24848098181226e-8,800,800,1
6,-80.15961236447811,3.591945388972165e-9,1600,1600,1
7,-80.15961259699633,4.127193350632122e-9,1600,1600,1
8,-80.15961260974292,4.181441418751224e-9,1600,1600,1
9,-80.1596126261694,4.210372596202715e-9,1600,1600,1
10,-80.15961264513366,4.236835217144761e-9,1600,1600,1
11,-80.15961436479613,8.197634380318912e-10,2400,2400,1
12,-80.15961441356097,8.945334779705499e-10,2400,2400,1
13,-80.15961445374035,9.096540952434247e-10,2400,2400,1
14,-80.15961447084727,9.114198149864122e-10,2400,2400,1
15,-80.15961447174655,9.131265922048544e-10,2400,2400,1
16,-80.15961483005746,8.878125174097403e-11,4000,4000,1
17,-80.15961483160851,9.418036731426817e-11,4000,4000,1
18,-80.15961483167982,9.536447645418343e-11,4000,4000,1
19,-80.15961483173086,9.578511034839977e-11,4000,4000,1
20,-80.1596148317991,9.601026610626391e-11,4000,4000,1
21,-80.1596148659553,1.4794441091336158e-11,6000,6000,1
22,-80.15961486629236,1.5346362176893964e-11,6000,6000,1
23,-80.15961486634829,1.5487632326955628e-11,6000,6000,1
24,-80.15961486635452,1.5514641953181953e-11,6000,6000,1
25,-80.15961486635824,1.552665355178204e-11,6000,6000,1
