stage,sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
polish,1,-90.03006571049329,9.999417468282293e-11,700,800,0
polish,2,-90.03006665241107,1.8380491755327587e-10,800,800,1
polish,3,-90.0300666535496,1.754998573867786e-10,800,800,1
polish,4,-90.03006665704139,1.8405832321601613e-10,800,800,1
polish,5,-90.03006666146757,1.8807443791321037e-10,800,800,1
polish,6,-90.030066766934,9.998636377817312e-12,1318,1600,0
polish,7,-90.03006676756492,9.999861814724271e-12,1328,1600,0
polish,8,-90.03006676761638,9.999547004850016e-12,1330,1600,0
polish,9,-90.03006676762197,9.999930445956982e-12,1330,1600,0
polish,10,-90.03006676762233,9.999770944982616e-12,1330,1600,0
polish,11,-90.030066774458,9.999962079341478e-13,1906,2400,0
polish,12,-90.03006677452387,9.999214171144552e-13,1918,2400,0
polish,13,-90.03006677452811,9.999993622004328e-13,1918,2400,0
polish,14,-90.03006677452869,9.999831718290439e-13,1918,2400,0
polish,15,-90.03006677452841,9.99966101537634e-13,1918,2400,0
polish,16,-90.03006677452831,9.999673325421685e-13,1918,4000,0
polish,17,-90.03006677452879,9.999664577826758e-13,1918,4000,0
polish,18,-90.03006677452836,9.99965793055335e-13,1918,4000,0
polish,19,-90.03006677452879,9.999654162519778e-13,1918,4000,0
polish,20,-90.03006677452935,9.999955531793e-13,1918,4000,0
polish,21,-90.03006677452909,9.999651472455312e-13,1918,6000,0
polish,22,-90.03006677452937,9.99965194891944e-13,1918,6000,0
polish,23,-90.03006677453128,9.9997397211196e-13,1918,6000,0
polish,24,-90.03006677453118,9.999838795749253e-13,1918,6000,0
polish,25,-90.03006677453307,9.999818767156918e-13,1918,6000,0
