stage,sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
polish,1,-81.7617907879371,8.75621630827969e-7,800,800,1
polish,2,-81.76179231402945,7.906702077886224e-7,800,800,1
polish,3,-81.7617927340994,7.624464874903573e-7,800,800,1
polish,4,-81.76179312352367,7.49665126984034e-7,800,800,1
polish,5,-81.76179346783726,7.494159185129067e-7,800,800,1
polish,6,-81.76212835677956,4.874847477319241e-8,1600,1600,1
polish,7,-81.76213294891853,5.9427231798092076e-8,1600,1600,1
polish,8,-81.76213389225656,6.188800962212757e-8,1600,1600,1
polish,9,-81.762134195211,6.261158780322041e-8,1600,1600,1
polish,10,-81.76213464031342,6.274670732820139e-8,1600,1600,1
polish,11,-81.7621614653365,1.2787466922298103e-8,2400,2400,1
polish,12,-81.76216279235045,1.4489484882130185e-8,2400,2400,1
polish,13,-81.76216358431192,1.5056279717386206e-8,2400,2400,1
polish,14,-81.76216403364263,1.5635997495460766e-8,2400,2400,1
polish,15,-81.76216410296452,1.5761599870949393e-8,2400,2400,1
polish,16,-81.76217028484884,1.7542315923822168e-9,4000,4000,1
polish,17,-81.76217041196976,1.9717643838363742e-9,4000,4000,1
polish,18,-81.76217043290394,1.989790526122521e-9,4000,4000,1
polish,19,-81.76217044637131,2.02548405369081e-9,4000,4000,1
polish,20,-81.76217045043445,2.0432109449074947e-9,4000,4000,1
polish,21,-81.7621711371895,3.331637977108454e-10,6000,6000,1
polish,22,-81.76217115045229,3.61635711902258e-10,6000,6000,1
polish,23,-81.7621711529769,3.683698210898143e-10,6000,6000,1
polish,24,-81.76217115345173,3.6983790168832995e-10,6000,6000,1
polish,25,-81.76217115373454,3.7025696066869583e-10,6000,6000,1
